Australian registries,"","","","","","","","","","","","","","","","","","","","",""
1995-99,25.9,"",60.3,"",59.9,"",13.2,"",13.7,"",84.6,"",69.9,"",36.1,"",83.7,"",47.5,"",82.6
"",(24.8-27.0),"",(59.7-61.0),"",(58.9-61.0),"",(11.8-14.6),"",(13.3-14.2),"",(84.0-85.2),"",(68.3-71.6),"",(34.8-37.4),"",(83.1-84.2),"",(46.2-48.7),"",(79.5-85.7)
2000-04,27.8,"",63.1,"",63.8,"",14.3,"",14.8,"",86.4,"",68.4,"",37.0,"",86.8,"",51.0,"",86.0
"",(26.8-28.9),"",(62.5-63.7),"",(62.9-64.7),"",(13.1-15.4),"",(14.4-15.2),"",(85.9-86.9),"",(66.6-70.3),"",(35.7-38.3),"",(86.3-87.2),"",(49.8-52.1),"",(83.3-88.6)
2005-09,27.9,"",64.2,"",64.2,"",14.7,"",15.0,"",86.2,"",67.1,"",37.5,"",88.5,"",51.1,"",88.6
"",(26.7-29.0),"",(63.6-64.8),"",(63.3-65.1),"",(13.5-16.0),"",(14.6-15.5),"",(85.6-86.8),"",(65.1-69.1),"",(36.2-38.8),"",(88.1-88.9),"",(50.0-52.3),"",(85.9-91.4)
New Zealand,"","","","","","","","","","","","","","","","","","","","",""
1995-99,22.2,"",60.8,"",57.0,"",11.6,"",12.2,"",79.5,"",64.3,"",35.8,"",80.8,"",47.7,"",82.6
"",(20.0-24.3),"",(59.5-62.1),"",(54.8-59.3),"",(8.5-14.6),"",(11.3-13.1),"",(78.2-80.8),"",(60.8-67.9),"",(33.0-38.5),"",(79.6-82.0),"",(45.0-50.4),"",(76.0-89.2)
2000-04,24.6,"",60.9,"",59.8,"",12.9,"",11.4,"",82.3,"",67.6,"",38.7,"",88.5,"",60.2,"",85.8
"",(22.4-26.8),"",(59.6-62.1),"",(57.8-61.9),"",(10.3-15.5),"",(10.6-12.2),"",(81.1-83.5),"",(64.0-71.2),"",(36.0-41.3),"",(87.6-89.4),"",(57.9-62.4),"",(79.9-91.7)
2005-09,26.7,"",61.6,"",60.8,"",17.4,"",12.4,"",83.7,"",63.9,"",33.8,"",88.7,"",58.0,"",89.3
"",(24.3-29.0),"",(60.4-62.8),"",(58.8-62.8),"",(14.6-20.2),"",(11.6-13.3),"",(82.5-84.9),"",(60.2-67.6),"",(31.3-36.2),"",(87.7-89.6),"",(55.6-60.3),"",(83.8-94.8)
