Argentinian registries,"","","","","","","","","","","","","","","","","","","","",""
1995-99,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",45.9,"",NA,"",NA,"",NA,"",NA
"","","","","","","","","","","","","",(35.0-56.8),"","","","","","","",""
2000-04,19.2,"",46.0,"",44.4,"",NA,"",20.8,"",75.5,"",52.0,"",26.8,"",85.0,"",NA,"",64.6
"",(14.9-23.6),"",(42.0-50.0),"",(34.4-54.3),"","","",(16.3-25.2),"",(70.5-80.5),"",(46.5-57.5),"",(17.7-35.9),"",(75.5-94.4),"","","",(62.2-67.0)
2005-09,16.0,"",40.6,"",31.0,"",24.2,"",11.9,"",76.6,"",50.6,"",29.7,"",86.6,"",90.0,"",66.9
"",(12.9-19.2),"",(34.5-46.7),"",(23.3-38.7),"",(1.6-46.7),"",(9.6-14.2),"",(71.4-81.9),"",(46.7-54.5),"",(23.7-35.8),"",(80.6-92.6),"",(68.0-100.0),"",(64.4-69.3)
Brazilian registries,"","","","","","","","","","","","","","","","","","","","",""
1995-99,33.1,"",55.9,"",54.7,"",15.9,"",18.6,"",78.2,"",60.2,"",35.1,"",83.4,"",34.3,"",71.9
"",(24.7-41.5),"",(48.6-63.3),"",(45.3-64.1),"",(7.1-24.7),"",(11.2-26.0),"",(73.5-82.8),"",(55.0-65.4),"",(26.0-44.3),"",(78.7-88.2),"",(16.2-52.4),"",(58.9-84.8)
2000-04,28.2,"",58.1,"",52.8,"",17.9,"",13.7,"",86.9,"",67.5,"",41.3,"",93.0,"",30.1,"",68.7
"",(24.2-32.2),"",(54.2-62.0),"",(46.6-59.1),"",(12.3-23.6),"",(9.4-18.0),"",(84.3-89.5),"",(64.0-71.0),"",(34.6-48.1),"",(90.5-95.5),"",(16.3-43.9),"",(60.5-77.0)
2005-09,24.9,"",58.2,"",55.9,"",11.6,"",18.0,"",87.4,"",61.1,"",31.8,"",96.1,"",20.3,"",65.8
"",(21.2-28.6),"",(54.4-61.9),"",(50.2-61.7),"",(7.5-15.7),"",(12.8-23.2),"",(84.8-90.0),"",(57.4-64.9),"",(25.5-38.2),"",(93.9-98.4),"",(11.0-29.7),"",(57.7-74.0)
Chilean registries,"","","","","","","","","","","","","","","","","","","","",""
1995-99,13.4,"",39.0,"",NA,"",NA,"",NA,"",73.3,"",41.9,"",NA,"",69.7,"",NA,"",NA
"",(7.7-19.1),"",(24.5-53.6),"","","","","","","",(58.2-88.5),"",(30.9-53.0),"","","",(58.3-81.2),"","","",""
2000-04,16.4,"",36.4,"",41.7,"",4.5,"",6.2,"",76.8,"",55.5,"",29.6,"",81.2,"",10.3,"",NA
"",(12.7-20.1),"",(28.3-44.5),"",(32.2-51.2),"",(1.4-7.6),"",(2.4-10.0),"",(69.7-84.0),"",(49.1-61.9),"",(20.1-39.2),"",(75.0-87.5),"",(4.8-15.8),"",""
2005-09,18.0,"",43.3,"",37.7,"",7.9,"",6.3,"",77.1,"",50.9,"",32.2,"",88.7,"",16.1,"",66.4
"",(14.3-21.7),"",(34.9-51.7),"",(27.9-47.5),"",(2.0-13.8),"",(2.2-10.4),"",(70.4-83.8),"",(44.3-57.5),"",(19.2-45.1),"",(83.5-93.8),"",(8.4-23.9),"",(51.3-81.5)
Colombian registries,"","","","","","","","","","","","","","","","","","","","",""
1995-99,15.4,"",29.2,"",NA,"",3.7,"",6.1,"",65.7,"",50.6,"",27.3,"",67.1,"",NA,"",40.9
"",(13.1-17.8),"",(24.8-33.7),"","","",(0.0-7.7),"",(4.2-8.0),"",(61.0-70.3),"",(46.8-54.5),"",(20.5-34.1),"",(63.1-71.1),"","","",(31.5-50.3)
2000-04,17.7,"",42.3,"",NA,"",4.3,"",9.0,"",70.4,"",56.8,"",33.0,"",80.5,"",19.6,"",49.3
"",(15.2-20.2),"",(37.9-46.7),"","","",(1.4-7.3),"",(6.8-11.2),"",(67.0-73.9),"",(53.3-60.2),"",(27.0-39.0),"",(77.6-83.4),"",(7.8-31.4),"",(40.1-58.4)
2005-09,16.6,"",43.3,"",NA,"",5.3,"",9.0,"",76.1,"",59.3,"",31.1,"",78.6,"",20.1,"",53.8
"",(13.9-19.2),"",(38.8-47.9),"","","",(2.2-8.5),"",(6.6-11.4),"",(72.2-80.0),"",(55.4-63.2),"",(25.4-36.8),"",(75.4-81.8),"",(8.2-32.0),"",(43.9-63.6)
Cuba,"","","","","","","","","","","","","","","","","","","","",""
1995-99,26.2,"",45.8,"",NA,"",NA,"",21.8,"",72.8,"",66.4,"",35.4,"",54.5,"",NA,"",NA
"",(23.2-29.2),"",(43.2-48.3),"","","","","",(20.5-23.2),"",(70.1-75.5),"",(63.2-69.6),"",(30.7-40.0),"",(51.5-57.6),"","","",""
2000-04,23.8,"",44.1,"",NA,"",NA,"",14.1,"",73.3,"",61.9,"",34.7,"",47.6,"",NA,"",NA
"",(22.0-25.6),"",(42.7-45.6),"","","","","",(13.4-14.8),"",(71.9-74.8),"",(60.2-63.7),"",(31.9-37.5),"",(45.8-49.3),"","","",""
2005-09,26.2,"",46.4,"",NA,"",NA,"",18.2,"",77.7,"",64.0,"",39.8,"",56.1,"",59.6,"",NA
"",(23.1-29.3),"",(44.0-48.8),"","","","","",(17.0-19.4),"",(75.4-79.9),"",(61.2-66.7),"",(35.5-44.2),"",(53.2-59.0),"",(46.6-72.7),"",""
Ecuadorian registries,"","","","","","","","","","","","","","","","","","","","",""
1995-99,40.1,"",61.5,"",45.5,"",16.2,"",34.5,"",68.9,"",59.7,"",35.2,"",76.3,"",29.5,"",63.6
"",(34.9-45.4),"",(52.1-71.0),"",(34.6-56.5),"",(9.2-23.2),"",(22.2-46.9),"",(62.9-74.9),"",(54.5-65.0),"",(27.3-43.1),"",(70.7-81.9),"",(22.3-36.7),"",(53.4-73.8)
2000-04,28.5,"",69.9,"",48.3,"",15.3,"",37.8,"",79.6,"",58.5,"",44.7,"",90.9,"",36.0,"",64.2
"",(25.7-31.3),"",(58.4-81.5),"",(38.6-58.0),"",(10.0-20.5),"",(26.9-48.7),"",(74.5-84.6),"",(53.7-63.3),"",(35.2-54.2),"",(86.5-95.3),"",(28.1-44.0),"",(54.9-73.6)
2005-09,31.9,"",68.2,"",52.6,"",17.7,"",28.7,"",83.2,"",61.7,"",47.0,"",92.4,"",33.5,"",62.6
"",(29.1-34.6),"",(57.7-78.7),"",(44.3-61.0),"",(12.3-23.2),"",(22.0-35.4),"",(79.2-87.2),"",(56.8-66.5),"",(37.1-57.0),"",(88.7-96.0),"",(26.3-40.7),"",(53.7-71.6)
Puerto Rico,"","","","","","","","","","","","","","","","","","","","",""
1995-99,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
2000-04,26.8,"",60.3,"",54.3,"",12.2,"",14.8,"",82.6,"",60.9,"",34.5,"",97.5,"",34.1,"",78.8
"",(24.3-29.3),"",(58.7-61.9),"",(51.2-57.3),"",(9.4-15.0),"",(13.2-16.4),"",(81.1-84.1),"",(57.2-64.6),"",(30.5-38.6),"",(96.5-98.5),"",(30.0-38.2),"",(69.8-87.7)
2005-09,28.6,"",60.9,"",57.8,"",9.2,"",15.8,"",83.0,"",59.3,"",34.8,"",97.7,"",30.2,"",80.1
"",(26.0-31.2),"",(59.4-62.3),"",(54.7-60.8),"",(7.1-11.2),"",(14.2-17.4),"",(81.6-84.5),"",(55.7-62.9),"",(30.8-38.8),"",(96.8-98.6),"",(26.9-33.5),"",(71.1-89.0)
Uruguay,"","","","","","","","","","","","","","","","","","","","",""
1995-99,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
2000-04,NA,"",56.5,"",53.0,"",NA,"",12.5,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
"","","",(54.1-59.0),"",(49.0-57.1),"","","",(10.9-14.0),"","","","","","","","","","","",""
2005-09,NA,"",53.4,"",49.4,"",NA,"",9.1,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
"","","",(50.5-56.3),"",(45.6-53.2),"","","",(7.9-10.3),"","","","","","","","","","","",""
